# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Starter|chespin,tepig,popplio
Safari Zone|pikachu,oddish,gloom,doduo,natu,wobbuffet,girafarig,psyduck,goldeen,magikarp,seaking,xatu,heracross,phanpy,geodude,dodrio,rhyhorn,pinsir,golduck,hoothoot,spinarak,mareep,aipom,sunkern,gligar,snubbull,stantler,marill,wooper,quagsire,remoraid,octillery,ledyba,pineco,teddiursa,houndour,miltank,shuckle
Route 120|oddish,marill,poochyena,mightyena,seedot,kecleon,absol,goldeen,magikarp,barboach
Route 121|oddish,gloom,poochyena,mightyena,wingull,kecleon,shuppet,tentacool,pelipper,magikarp,wailmer
Route 123|oddish,gloom,poochyena,mightyena,wingull,kecleon,shuppet,tentacool,pelipper,magikarp,wailmer
Shoal Cave|zubat,golbat,spheal,tentacool,magikarp,wailmer,snorunt
Magma Hideout|geodude,graveler,torkoal
Seafloor Cavern|zubat,golbat,tentacool,magikarp,wailmer
Cave of Origin|zubat,golbat,sableye
Sky Pillar|golbat,sableye,claydol,banette,altaria
Desert Underpass|ditto,whismur,loudred
Victory Road|golbat,hariyama,mawile,lairon,geodude,graveler,sableye,goldeen,magikarp,barboach,whiscash
Umber Town|goldeen,seaking,magikarp,corphish,crawdaunt
Cobalt City|tentacool,tentacruel,wingull,pelipper,magikarp,carvanha,skrelp,dragalge
Xanthos City|tentacool,tentacruel,wingull,pelipper,magikarp,krabby,carvanha,kingler
Route 105|tentacool,wingull,pelipper,magikarp,wailmer
Route 124|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Abandoned Ship|tentacool,tentacruel,magikarp
Route 106|tentacool,wingull,pelipper,magikarp,wailmer
Route 107|tentacool,wingull,pelipper,magikarp,wailmer
Route 108|tentacool,wingull,pelipper,magikarp,wailmer
Route 109|tentacool,wingull,pelipper,magikarp,wailmer
Route 122|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Route 125|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Route 126|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Route 127|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Route 128|tentacool,wingull,pelipper,magikarp,wailmer,luvdisc,corsola
Route 129|tentacool,wingull,pelipper,wailord,magikarp,wailmer,sharpedo
Route 131|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Route 132|tentacool,wingull,pelipper,magikarp,wailmer,horsea,sharpedo
Route 133|tentacool,wingull,pelipper,magikarp,wailmer,horsea,sharpedo
Route 134|tentacool,wingull,pelipper,magikarp,wailmer,horsea,sharpedo
Lilycove City|tentacool,wingull,pelipper,magikarp,wailmer,staryu
Dewford Town|tentacool,wingull,pelipper,magikarp,wailmer
Slateport City|tentacool,wingull,pelipper,magikarp,wailmer
Mossdeep City|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Pacifidlog Town|tentacool,wingull,pelipper,magikarp,wailmer,sharpedo
Evergrand City|tentacool,wingull,pelipper,magikarp,wailmer,luvdisc,corsola
Petalburg City|marill,goldeen,magikarp,corphish
Sootopolis City|magikarp,tentacool,gyarados
Underwater|chinchou,clamperl,relicanth
