# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Route 1|pidgey,rattata,oddish
Erroro Dq|spearow,fearow,meowth,persian,psyduck,geodude,ponyta,rapidash,tentacool,tentacruel,graveler,magikarp,horsea,seadra,gyarados
Cape Brink|spearow,fearow,oddish,gloom,meowth,persian,psyduck,golduck,magikarp,poliwag,goldeen,poliwhirl,gyarados
Treasure Beach|spearow,fearow,meowth,persian,psyduck,tangela,tentacool,tentacruel,magikarp,horsea,seadra,gyarados
Route 23|spearow,fearow,ekans,arbok,mankey,primeape,mr-mime,scyther,poliwag,poliwhirl,goldeen,gyarados,dratini,magikarp,psyduck
Victory Road|arbok,zubat,golbat,primeape,machop,machoke,geodude,gastly,onix,marowak,cubone,magmar
Cerulean Cave|golbat,parasect,primeape,machoke,magneton,electrode,ditto,wobbuffet,psyduck,golduck,geodude,graveler,magikarp,poliwag,goldeen,poliwhirl,gyarados,kadabra
S.S. Anne|tentacool,magikarp,krabby,horsea,psyduck,shellder,gyarados
Route 19|tentacool,krabby,kingler,horsea,magikarp,psyduck,seadra,gyarados
Route 20|tentacool,tentacruel,krabby,horsea,magikarp,psyduck,seadra,gyarados
Four Island|psyduck,wooper,magikarp,poliwag,goldeen,poliwhirl,gyarados
Five Island|tentacool,tentacruel,hoppip,magikarp,horsea,psyduck,shellder,seadra,gyarados
Cinnabar Island|tentacool,shellder,krabby,goldeen,gyarados,magikarp,horsea,psyduck,seadra
One Island|tentacool,tentacruel,magikarp,horsea,psyduck,shellder,seadra,gyarados
Celadon City|psyduck,poliwag,poliwhirl,magikarp,grimer
Fuchsia City|psyduck,slowpoke,staryu,magikarp,poliwag,goldeen,seaking,gyarados
Cerulean City|shellder,krabby,horsea,goldeen,magikarp,psyduck,gyarados
Vermilion City|tentacool,shellder,krabby,horsea,magikarp,psyduck,gyarados
Pallet Town|tentacool,shellder,krabby,horsea,magikarp,psyduck,seadra,gyarados
Viridian City|psyduck,poliwag,poliwhirl,magikarp,goldeen,gyarados
Resort Gorgeous|tentacool,tentacruel,hoppip,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Water Labyrinth|tentacool,tentacruel,hoppip,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Outcast Island|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Green Path|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Trainer Tower|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Tanoby Ruins|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
