# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Route 1|pidgey,rattata
Ruin Valley|spearow,fearow,meowth,persian,psyduck,natu,yanma,wooper,wobbuffet
Sevault Canyon|fearow,meowth,persian,geodude,onix,cubone,marowak,skarmory,phanpy,larvitar
Diglett's Cave|diglett,dugtrio
Seven Island|burmy,mothim,combee,pansage,sewaddle,joltik,cutiefly,comfey,oranguru,passimian,blipbug,surskit,ducklett,dewpider,magikarp,feebas,frillish-male,arrokuda,milotic,jellicent-male,barraskewda,golett
Route 7|pidgey,vulpix,oddish,meowth,growlithe,bellsprout
Route 21|tangela,mr-mime,tentacool,tentacruel,magikarp,krabby,horsea,psyduck,seadra,gyarados
Route 16|rattata,raticate,spearow,doduo,fearow
Mt. Ember|spearow,fearow,machop,ponyta,rapidash,magmar,geodude,machoke,graveler,slugma,magcargo,numel,camerupt,torkoal,heatmor,turtonator,centiskorch,rolycoly,carkol,coalossal,sizzlipede
Torre Espejismo|sandshrew,trapinch
Route 14|pidgeotto,gloom,weepinbell,farfetchd,doduo,chansey,ditto,pidgeot,nidorina,nidorino,venomoth,skiploom,quagsire
Route 18|rattata,raticate,spearow,fearow,doduo,dodrio,grimer,muk
Power Plant|pikachu,magnemite,magneton,voltorb,electabuzz
Route 29|pidgeotto,pidgeot,rattata,sentret,hoothoot,noctowl,pichu,cleffa,igglybuff,aipom,tyrogue
Safari Zone|raichu,gloom,vileplume,dodrio,xatu,wobbuffet,girafarig,golduck,goldeen,magikarp,seaking,gyarados,heracross,donphan,graveler,golem,rhydon,pinsir,noctowl,ariados,ampharos,sunflora,gligar,granbull,stantler,ambipom,gliscor,marill,azumarill,quagsire,octillery,ledian,forretress,ursaring,houndoom,miltank,shuckle,nidoran-f,nidorina,nidoran-m,nidorino,parasect,venonat,exeggcute,rhyhorn,chansey,scyther,psyduck,dratini,dragonair,paras,doduo,kangaskhan,venomoth,tauros,muk,marowak,weezing,dragonite,kingdra
Route 12|pidgey,oddish,gloom,venonat,weepinbell,tentacool,pidgeotto
Route 13|pidgey,pidgeotto,oddish,gloom,venonat,bellsprout,weepinbell,ditto,tentacool,magikarp,horsea,staryu,seadra,starmie,gyarados,kingdra
Route 15|pidgey,pidgeotto,oddish,gloom,venonat,weepinbell,ditto,pidgeot,nidorina,nidorino,chansey,skiploom,jumpluff,quagsire
Icefall Cave|zubat,golbat,psyduck,seel,dewgong,jynx,sneasel,wooper,swinub,delibird,tentacool,tentacruel,lapras
Route 35|pikachu,meowth,persian,sentret,furret,marill,aipom,teddiursa,houndour,tentacool,tentacruel,magikarp,arbok,ponyta,mareep,flaaffy,ampharos,girafarig,pineco,forretress,stantler,gyarados
Route 44|rattata,raticate,gloom,weepinbell,geodude,graveler,sentret,furret,pichu,cleffa,igglybuff,bellossom
Mt. Mortar|zubat,golbat,machop,machoke,geodude,graveler,onix,tyrogue,tentacool,tentacruel,qwilfish,machamp,golem,hitmonlee,hitmonchan,crobat,hitmontop,gyarados
Four Island|psyduck,wooper,magikarp,poliwag,goldeen,poliwhirl,gyarados,zubat,golbat,seel,dewgong,lapras,crobat,eiscue-ice,tentacool,tentacruel,crabrawler,wishiwashi-solo
Shoal Cave|golbat,crobat,glalie,sealeo,walrein,zubat,spheal,tentacool,magikarp,tentacruel,gyarados,wailord,wailmer,snorunt
Pok{6}mon Mansion|rattata,raticate,vulpix,growlithe,grimer,koffing,weezing,magmar,ditto
Bond Bridge|pidgey,pidgeotto,oddish,gloom,venonat,meowth,persian,psyduck,tentacool,tentacruel
Kindle Road|spearow,fearow,meowth,persian,psyduck,geodude,ponyta,rapidash,tentacool,tentacruel,graveler
Cape Brink|spearow,fearow,oddish,gloom,meowth,persian,psyduck,golduck
Berry Forest|pidgey,pidgeotto,oddish,gloom,venonat,venomoth,drowzee,hypno,psyduck,golduck,drifloon,drifblim,bronzor,bronzong
Route 42|machop,machoke,furret,sudowoodo,girafarig,pineco,forretress,gligar,phanpy,donphan,stantler,marill,azumarill,remoraid,octillery,mantine,pidgeotto,pidgeot,ledian,hoppip,aipom,shuckle
Ice Path|seel,dewgong,sneasel,swinub,piloswine,smoochum
Victory Road|golbat,crobat,exploud,hariyama,aggron,mawile,graveler,golem,sableye,goldeen,magikarp,seaking,gyarados,whiscash,arbok,sandslash,machop,machoke,onix,marowak,primeape
Route 23|fearow,arbok,mankey,primeape,farfetchd,lickitung,scyther,tauros,psyduck,slowpoke,horsea,goldeen,staryu
Mt.Silver|arbok,ponyta,rapidash,dodrio,gligar,ursaring,houndoom,donphan,larvitar,tentacruel,seadra,gyarados,octillery,mantine,golbat,golem,steelix,pupitar,tyranitar,machoke,machamp
Route 28|arbok,ponyta,rapidash,dodrio,gligar,ursaring,houndoom,donphan,larvitar,tentacruel,seadra,seaking,gyarados,lapras
Route 32|pidgeotto,rattata,raticate,ekans,arbok,pikachu,weepinbell,hoothoot,mareep,flaaffy,ampharos,wooper,tentacool,tentacruel,qwilfish
Route 33|caterpie,metapod,butterfree,weedle,kakuna,oddish,paras,bellsprout,weepinbell,hoothoot
Route 34|pidgeotto,ekans,meowth,sentret,hoothoot,pichu,cleffa,igglybuff,togepi,togetic,snubbull,elekid,tentacool,tentacruel,magikarp
Route 36|metapod,kakuna,pidgeotto,rattata,raticate,oddish,gloom,paras,yanma,magby
Route 37|ponyta,drowzee,hypno,exeggcute,eevee,aipom,pineco,stantler,smeargle
Route 48|zubat,golbat,geodude,graveler,golem,onix,wooper,phanpy,psyduck,golduck,goldeen,seaking,corsola,machop,gligar,donphan
National Park|metapod,butterfree,kakuna,beedrill,venonat,venomoth,scyther,pinsir,sunkern,sunflora,heracross,poliwag,poliwhirl,marill,azumarill
One Island|buizel,shellos,gastrodon,tympole,palpitoad,binacle,skrelp,clauncher,mareanie,toxapex,pyukumuku,chewtle,mantine,finneon,lumineon,mantyke,tentacool,tentacruel,magikarp,horsea,psyduck,shellder,seadra,gyarados
Three Island|munna,musharna,gothita,gothorita,solosis,duosion,litwick,lampent,hatenna,hattrem,duskull
Slowpoke Well|golbat,slowpoke,slowbro,slowking,goldeen,seaking,crobat,shellder,cloyster
Lavender Town|gastly,haunter,gengar,yamask,phantump,pumpkaboo-average,mimikyu-disguised,sinistea,marowak,misdreavus,mismagius,vulpix,zorua,runerigus,stonjourner
Dotted Hole|carbink,goomy,sliggoo,goodra
Mt. Pyre|shuppet,banette,duskull,dusclops,dusknoir,vulpix,ninetales,pelipper,meditite,medicham,chimecho
Route 101|mightyena,linoone,silcoon,beautifly,cascoon,dustox
Route 102|mightyena,zigzagoon,linoone,silcoon,cascoon,lombre,nuzleaf,gardevoir,seadra,seaking,marill,azumarill,marshtomp,goldeen,magikarp,gyarados,crawdaunt
Route 104|marill,azumarill,mightyena,taillow,swellow,wingull,pelipper,magikarp,gyarados
Torre Dun|smeargle
Johto Hq|machop,machoke,graveler,sudowoodo,gligar,skarmory,phanpy,donphan,tyrogue
Route 26|ekans,arbok,ponyta,rapidash,doduo,dodrio,furret,sudowoodo,heracross,phanpy,donphan,stantler,tentacool,marill,corsola,remoraid,octillery
Route 27|pidgeotto,pidgeot,ekans,arbok,ponyta,rapidash,doduo,dodrio,scizor,phanpy,donphan,tentacool,tentacruel,marill,remoraid,mantine
Route 30|metapod,kakuna,pidgeotto,pidgeot,raticate,sentret,furret,skiploom,jumpluff,aipom,totodile,remoraid,octillery
Route 31|metapod,kakuna,pidgeotto,pidgeot,raticate,sentret,furret,marill,skiploom,aipom,magikarp,azumarill,remoraid,octillery
Route 38|meowth,ponyta,rapidash,exeggcute,tauros,snubbull,granbull,heracross,elekid,magby,miltank
Route 39|meowth,persian,ponyta,rapidash,tauros,snubbull,granbull,heracross,elekid,magby,miltank
Route 45|tentacruel,milotic,huntail,gorebyss,alomomola,throh,sawk,mienfoo,mienshao,flabebe,skiddo,gogoat,fomantis,lurantis
Cherrygrove City|butterfree,chikorita,bayleef,meganium,ledyba,ledian,bellossom,jumpluff,aipom,sunkern,sunflora,yanma,tentacool,tentacruel,seaking,azumarill,kingdra,krabby,magikarp,corsola,kingler,staryu,starmie
Route 49|zubat,golbat,geodude,graveler,golem,hoothoot,noctowl,dunsparce,phanpy,goldeen,seaking
Ilex Forest|metapod,butterfree,kakuna,beedrill,gloom,paras,weepinbell,farfetchd,ledyba,spinarak,aipom,yanma,psyduck,golduck,marill,azumarill,remoraid
Whirpool Island|zubat,golbat,psyduck,golduck,seel,dewgong,krabby,kingler,crobat,tentacool,tentacruel,horsea,seadra,corsola,staryu,starmie,chinchou,lanturn,magikarp,gyarados,kingdra
Tohjo Falls|raticate,zubat,golbat,slowpoke,slowbro,crobat,slowking,goldeen,seaking,magikarp,krabby,gyarados,kingler,corsola,kingdra
Six Island|pansage,pansear,panpour,pidove,audino,cottonee,petilil,deerling,emolga,karrablast,shelmet,basculin-red-striped,foongus,amoonguss
Route 103|mightyena,linoone,wingull,pelipper,tentacool,tentacruel,magikarp,gyarados,wailmer,sharpedo,wailord
Route 110|gloom,mightyena,wingull,pelipper,manectric,plusle,minun,gulpin,swalot,tentacruel,tentacool,magikarp,gyarados,wailmer,wailord
Route 118|zigzagoon,linoone,wingull,pelipper,manectric,kecleon,tentacruel,tentacool,magikarp,gyarados,carvanha,sharpedo
Petalburg Woods|mightyena,silcoon,beautifly,cascoon,dustox,swellow,breloom,vigoroth,slaking
Route 46|raticate,fearow,farfetchd,tauros,noctowl,jumpluff,girafarig,stantler,boohoo,madaamu,wyrdeer,farigiraf
Fuchsia City|psyduck,magikarp,poliwag,goldeen,seaking,gyarados,nidorina,nidorino,venomoth,exeggcute,rhyhorn,chansey,kangaskhan,scyther,pinsir,tauros,golduck,horsea,dratini,starmie,dragonair
Burned Tower|raticate,golbat,gastly,haunter,gengar,koffing,weezing,magmar,murkrow,misdreavus,mismagius,honchkrow
Dragons Den|charizard,golbat,crobat,ampharos,larvitar,pupitar,tyranitar,flygon,bagon,shelgon,salamence,seadra,gyarados,dragonair,dragonite,kingdra
Route 113|slugma,magcargo,skarmory,spinda
Route 115|jigglypuff,wigglytuff,swellow,pelipper,swablu,altaria,tentacruel,wingull,tentacool,magikarp,gyarados,wailmer,wailord
Route 116|kadabra,poochyena,mightyena,swellow,nincada,ninjask,loudred,skitty,delcatty
Route 112|marill,azumarill,numel,camerupt
Route 114|lombre,nuzleaf,swablu,altaria,seviper,goldeen,marill,graveler,golem,magikarp,seaking,gyarados,whiscash
Granite Cave|golbat,kadabra,graveler,golem,makuhita,hariyama,aron,crobat,sableye,lairon,nosepass,aggron
Meteor Falls|golbat,crobat,solrock,shelgon,salamence,goldeen,magikarp,seaking,gyarados,whiscash
Route 43|magikarp,gyarados,slowbro,cloyster,kingler,qwilfish,octillery,taaban,overqwil,wartillery,shibirefug,lanturn,inkay,slowking
Route 53|vileplume,victreebel,bayleef,meganium,sudowoodo,sunflora,gligar,ursaring,donphan,ambipom,gliscor,ivysaur,venusaur,noctowl,pidgeot,fearow,sandslash,parasect,farfetchd,dodrio,roggenrola,boldore,gigalith
Saffron City|ivysaur,venusaur,pidgeot,fearow,sandslash,vileplume,parasect,victreebel,farfetchd,dodrio,exeggutor,rhydon
Route 111|sandslash,vibrava,flygon,cacturne,baltoy,claydol,seaking,marill,azumarill,graveler,golem,goldeen,magikarp,gyarados,whiscash
Route 117|gloom,azumarill,mightyena,nuzleaf,volbeat,illumise,roselia,seaking,marill,goldeen,corphish,gyarados,crawdaunt
Fiery Path|machoke,muk,weezing,magcargo,camerupt,torkoal
Route 121|gloom,mightyena,pelipper,kecleon,banette,tentacruel,wingull,tentacool,magikarp,gyarados,wailmer,wailord
Route 123|gloom,mightyena,pelipper,kecleon,banette,tentacruel,wingull,tentacool,magikarp,gyarados,wailmer,wailord
Caverna Magma|graveler,golem,torkoal
Route 120|gloom,azumarill,poochyena,mightyena,nuzleaf,kecleon,absol,seaking,marill,goldeen,magikarp,gyarados,whiscash
Rusturf Tunnel|loudred,exploud
Jagged Pass|machoke,camerupt,spoink,grumpig
Route 119|gloom,zigzagoon,linoone,kecleon,tropius,tentacruel,wingull,pelipper,tentacool,carvanha,gyarados,sharpedo
Seafloor Cavern|golbat,crobat,tentacruel,tentacool,magikarp,gyarados,wailord,zubat,wailmer
Cave of Origin|golbat,crobat,sableye
Gruta Des{6}rtica|ditto,loudred,exploud
New Mauville|raichu,magneton,electrode,magnezone
Sky Pillar|golbat,crobat,sableye,claydol,banette,altaria
Route 105|tentacruel,wingull,pelipper,tentacool,magikarp,wailmer,wailord
Route 124|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailmer,sharpedo,wailord
Abandoned Ship|tentacool,tentacruel,magikarp
Route 106|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailmer,wailord
Route 107|tentacruel,wingull,pelipper,tentacool,magikarp,wailmer,gyarados,wailord
Route 108|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailmer,wailord
Route 109|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailmer,wailord
Route 122|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailmer,sharpedo,wailord
Route 125|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailmer,sharpedo,wailord
Route 126|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,sharpedo
Route 127|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,sharpedo
Route 128|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,luvdisc,corsola
Route 129|tentacruel,wingull,pelipper,wailord,tentacool,magikarp,gyarados,sharpedo
Route 131|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,sharpedo
Route 132|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,seadra,sharpedo
Route 133|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,seadra,sharpedo
Route 134|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,seadra,sharpedo
Lilycove City|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,starmie
Dewford Town|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord
Slateport City|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord
Mossdeep City|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,sharpedo
Pacifidlog Town|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,sharpedo
Ever Grande City|tentacruel,wingull,pelipper,tentacool,magikarp,gyarados,wailord,luvdisc,corsola
Sootopolis City|gyarados,milotic,huntail,gorebyss,relicanth,tentacool,magikarp
Route 19|tentacool,tentacruel,krabby,kingler,magikarp,horsea,seadra,staryu,starmie,gyarados,kingdra
Route 20|tentacool,tentacruel,magikarp,krabby,horsea,staryu,psyduck,seadra,gyarados
Water Labyrinth|tentacool,hoppip,qwilfish,remoraid
Resort Gorgeous|tentacool,hoppip,qwilfish,remoraid
Green Path|tentacool,tentacruel
Outcast Island|tentacool,tentacruel
Trainer Tower|tentacool,tentacruel
Cinnabar Island|tentacool,magikarp,krabby,horsea,psyduck,shellder,seadra,gyarados,tentacruel,staryu
Violet City|poliwag,poliwhirl,politoed,wooper,quagsire,staryu
Viridian City|psyduck,magikarp,poliwag,goldeen,poliwhirl,gyarados
Vermilion City|krabby,kingler
Cerulean City|tentacool,magikarp,krabby,horsea,psyduck,gyarados
Celadon City|psyduck,koffing,magikarp,grimer
Five Island|tentacool,hoppip,qwilfish,magikarp,horsea,psyduck,shellder,seadra,gyarados
Treasure Beach|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados
Underwater|chinchou,clamperl,relicanth
Route 40|tentacool,tentacruel,staryu,starmie,chinchou,geodude,graveler,shuckle,lanturn,corsola
Two Island|tentacruel,qwilfish,mantine,carvanha,sharpedo,remoraid,seadra,octillery,kingler,gyarados,kingdra
New Bark Town|tentacool,tentacruel,magikarp,shellder,chinchou,lanturn
Ecruteak City|poliwag,poliwhirl,magikarp,poliwrath,politoed,quagsire
Cianwood City|tentacool,tentacruel,graveler,golem,krabby,kingler,shuckle,magikarp,corsola,staryu,starmie
Blackthorn City|magikarp,poliwag,poliwhirl,gyarados,lanturn,octillery
Route 52|tentacool,tentacruel,staryu,starmie,chinchou
Olivine City|tentacool,tentacruel,staryu,starmie,chinchou
