# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
Viridian Forest|caterpie,metapod,weedle,kakuna,pikachu
Route 16|rattata,raticate,spearow,fearow,doduo,dodrio
Route 17|rattata,raticate,spearow,fearow,doduo
Route 24|caterpie,metapod,weedle,kakuna,pidgey,oddish,abra,bellsprout,tentacool,krabby,horsea,dratini,magikarp,psyduck,gyarados
Route 25|caterpie,metapod,weedle,kakuna,pidgey,oddish,abra,kadabra,bellsprout,psyduck,poliwag,magikarp,goldeen,poliwhirl,gyarados
Outlaw Mansion|rattata,raticate,growlithe,grimer,koffing,weezing
Cerulean Cave|zubat,golbat,paras,parasect,mankey,primeape,machop,machoke,magnemite,magneton,electrode,wobbuffet,psyduck,golduck,poliwag,poliwhirl,goldeen,geodude,graveler,magikarp,gyarados,kadabra,ditto,voltorb
Route 5|pidgey,pidgeotto,oddish,meowth,abra,kadabra,bellsprout
Route 6|pidgey,pidgeotto,oddish,gloom,meowth,persian,bellsprout,weepinbell,psyduck,poliwag,slowpoke,goldeen,magikarp,poliwhirl,gyarados
Route 10|spearow,fearow,ekans,arbok,sandshrew,voltorb,psyduck,tentacool,slowpoke,krabby,horsea,magikarp,gyarados
Route 11|spearow,ekans,sandshrew,drowzee,tentacool,magikarp,krabby,horsea,psyduck,gyarados
Route 18|rattata,raticate,spearow,fearow,doduo
Route 22|rattata,raticate,spearow,fearow,mankey,primeape,kangaskhan,psyduck,magikarp,poliwag,goldeen,poliwhirl,gyarados
Route 23|spearow,fearow,ekans,arbok,mankey,primeape,mr-mime,scyther,psyduck,poliwag,goldeen,dratini,magikarp,poliwhirl,gyarados
Outlaw Road|arbok,zubat,golbat,machop,machoke,geodude,onix,marowak,primeape
Salone House|tentacool,magikarp,krabby,horsea,psyduck,shellder,gyarados
Resort Gorgeous|tentacool,magikarp,gyarados,hoppip,qwilfish,horsea,psyduck,seadra
Water Labyrinth|tentacool,horsea,staryu,hoppip,qwilfish,magikarp,psyduck,seadra,gyarados
Outcast Island|tentacool,krabby,horsea,qwilfish,carvanha,magikarp,psyduck,seadra,gyarados
Green Path|tentacool,tentacruel,horsea,qwilfish,magikarp,psyduck,seadra,gyarados
Quest North|tentacool,horsea,chinchou,corsola,feebas,magikarp,psyduck,seadra,gyarados,qwilfish
Tanoby Town|horsea,chinchou,qwilfish,remoraid,clamperl,magikarp,psyduck,seadra,gyarados
Route 19|psyduck,tentacool,tentacruel,krabby,horsea,magikarp,seadra,gyarados
Route 20|tentacool,krabby,horsea,magikarp,psyduck,seadra,gyarados
Pallet Town|tentacool,magikarp,krabby,horsea,psyduck,shellder,seadra,gyarados
Viridian City|psyduck,poliwag,goldeen,magikarp,poliwhirl,gyarados
Cerulean City|tentacool,krabby,horsea,dratini,magikarp,psyduck,gyarados
Vermilion City|tentacool,shellder,krabby,magikarp,horsea,psyduck,gyarados
Celadon City|psyduck,koffing,magikarp,grimer
Fuchsia City|psyduck,poliwag,goldeen,magikarp,seaking,gyarados
Cinnabar Island|tentacool,tentacruel,shellder,krabby,horsea,magikarp,psyduck,seadra,gyarados
Knot Town|tentacool,shellder,horsea,magikarp,gyarados,psyduck,seadra
Floe Town|psyduck,poliwag,goldeen,magikarp,wooper,poliwhirl,gyarados
Chrono Town|tentacool,shellder,krabby,horsea,hoppip,magikarp,psyduck,seadra,gyarados
